Enlace, Nombre, Provincia, Localidad, Direccion, Tlf, Email, Web-Site, Pistas
https://www.rfet.es/es/club/club-de-tenis-amurrio, Club de tenis amurrio, Alava, Amurrio, LANDAKO8 (CASA DE CULTURA) - 01470 AMURRIO, 620924701, tenisamurrio@gmail.com, -, 2
https://www.rfet.es/es/club/club-de-tenis-teg-vitoria-gasteiz, Club de tenis teg vitoria-gasteiz, Alava, Vitoria, C/ GENERAL ÁLAVA 15 4º DERECHA - 01005 VITORIA, 639667331, info@tegvitoria.com, -, 3
https://www.rfet.es/es/club/cultural-deportiva-lantaron, Cultural deportiva lantaron, Alava, Comunion, AYUNTAMIENTO 4 - 01213 COMUNION, 945332800, rolantaron@gmail.com, -, 1
https://www.rfet.es/es/club/laudio-tenis-club, Laudio tenis club, Alava, Llodio, C/ GOIKOPLAZA 24 2º DERECHA - 01400 LLODIO, 618594060, info@laudiotenis.com, https://www.laudiotenis.com , 2
https://www.rfet.es/es/club/mendizorroza-club-deportivo, Mendizorroza club deportivo, Alava, Vitoria, APARTADO 5006 - 01080 VITORIA, 945161093, mendicdtenis@gmail.com, -, 10
https://www.rfet.es/es/club/pena-vitoriana-tenis-club, Peña vitoriana tenis club, Alava, Vitoria, ULETA 11 - 01007 VITORIA, 945133338, info@pvitoriana.com, -, 7
https://www.rfet.es/es/club/cde-tenis-de-villarrobledo, C.d.e. tenis de villarrobledo, Albacete, Villarrobledo, GENERAL TOPETE5 - APARTADO 125   - 02600 VILLARROBLEDO, 627874713, jvarea@hotmail.com, -, 3
https://www.rfet.es/es/club/club-de-tenis-albacete, Club de tenis albacete, Albacete, Albacete, CTRA. MAHORA KM. 3200  - 02006 ALBACETE, 967217046, clubtenisalbacete@clubtenisalbacete.com, -, 12
https://www.rfet.es/es/club/club-de-tenis-almansa, Club de tenis almansa, Albacete, Almansa, APARTADO 314 - 02640 ALMANSA, 967343240, -, -, 5
https://www.rfet.es/es/club/club-de-tenis-caudete, Club de tenis caudete, Albacete, Caudete, CAMINO DE LOS VIÑALES S/N - 02660 CAUDETE, 965825800, correo@clubdeteniscaudete.com, -, 3
https://www.rfet.es/es/club/club-deportivo-almansa-tenis-competicion, Club deportivo almansa tenis competición, Albacete, Almansa, C/ MENDIZÁBAL 14 2º IZQ. - 02640 ALMANSA, 600888159, almansateniscompeticion@gmail.com, -, -
https://www.rfet.es/es/club/club-los-llanos, Club los llanos, Albacete, Albacete, APARTADO 541 - 02080 ALBACETE, 967238112, club@clublosllanos.es, -, 12
https://www.rfet.es/es/club/club-polidsocial-la-molineta, Club polid.social la molineta, Albacete, La roda, CAMINO DE TOLON - 02630 LA RODA, 967443141, -, -, 2
https://www.rfet.es/es/club/club-polideportivo-tenis-hellin, Club polideportivo tenis hellin, Albacete, Hellin, LAVAJICO DE ROS S/N-APARTADO 100 - 02400 HELLIN, 967302188, info@clubtenishellin.com, -, 7
https://www.rfet.es/es/club/club-polideportivo-la-roda, Club polideportivo “la roda“, Albacete, La roda, TOMAS PRIETO 35 - 02630 LA RODA, 967443809, juliangarcia@clubtenisalbacete.com, -, 2
https://www.rfet.es/es/club/sociedad-tiro-pichon-la-pulgosa, Sociedad tiro pichon la pulgosa, Albacete, Albacete, APARTADO 496 - 02080 ALBACETE, 967221500, gerencia@tiropichonalbacete.es, -, 8
https://www.rfet.es/es/club/ct-juan-carlos-ferrero-de-villena, C.t. juan carlos ferrero de villena, Alicante, Villena, CASAS DE MENOR 44 - 03400 VILLENA, 965340013, tenis@equelite.com, -, 10
https://www.rfet.es/es/club/centro-deportivo-cucuch, Centro deportivo cucuch, Alicante, Novelda, APARTADO 101 - 03660 NOVELDA, 965601096, info@cdcucuch.es, -, 5
https://www.rfet.es/es/club/centro-deportivo-monovar, Centro deportivo monovar, Alicante, Monovar, APARTADO 159 - 03640 MONOVAR, 965471217, ctpmonovar@yahoo.es, -, 6
https://www.rfet.es/es/club/centro-excursionista-eldense, Centro excursionista eldense, Alicante, Elda, AV. CENTRO EXCURSIONISTA ELDENSE - 03600 ELDA, 605600342, ceetenis@gmail.com, https://www.teniscee.com/, 8
https://www.rfet.es/es/club/club-amigos-del-tenis, Club amigos del tenis, Alicante, Elda, POETA ZORRILLA 5 1º - 03600 ELDA, 965393354, jlperezlorenzo@gmail.com , -, 4
https://www.rfet.es/es/club/club-atletico-montemar, Club atletico montemar, Alicante, Alicante, VIRGILIO 25 - 03016 ALICANTE, 965159426, antonio@camontemar.com, -, 21
https://www.rfet.es/es/club/club-de-campo-de-elche, Club de campo de elche, Alicante, Elche, APARTADO 1015 - 03280 ELCHE, 965450166, administracion@clubcampoelche.es, -, 5
https://www.rfet.es/es/club/club-de-campo-elda, Club de campo elda, Alicante, Elda, AV. MEDITERRÁNEO 28-30 - 03600 ELDA, 965391600, -, -, 3
